#       RunID                dt_mlt_in                    r_ice                    r_pnd                    r_snw             rsnw_melt_in                     ksno                   mu_rdg    NHEXTEJAN           NHEXTEFEB           NHEXTEMAR           NHEXTEAPR           NHEXTEMAY           NHEXTEJUN           NHEXTEJUL           NHEXTEAUG           NHEXTESEP           NHEXTEOCT           NHEXTENOV           NHEXTEDEC           NHAREAJAN           NHAREAFEB           NHAREAMAR           NHAREAAPR           NHAREAMAY           NHAREAJUN           NHAREAJUL           NHAREAAUG           NHAREASEP           NHAREAOCT           NHAREANOV           NHAREADEC           SHEXTEJAN           SHEXTEFEB           SHEXTEMAR           SHEXTEAPR           SHEXTEMAY           SHEXTEJUN           SHEXTEJUL           SHEXTEAUG           SHEXTESEP           SHEXTEOCT           SHEXTENOV           SHEXTEDEC           SHAREAJAN           SHAREAFEB           SHAREAMAR           SHAREAAPR           SHAREAMAY           SHAREAJUN           SHAREAJUL           SHAREAAUG           SHAREASEP           SHAREAOCT           SHAREANOV           SHAREADEC       
            1   9.3692107034471517e-01   5.0000000000000000e-01   5.0000000000000000e-01   8.9473684210526316e-01   6.6666666666666663e-01   8.0000000000000004e-01   5.0000000000000000e-01    15.1528006008       15.9980772058       16.2029122262       15.6719408136       14.2037342417       12.2023576401       9.6415458924        7.1606416036        6.08791080721       8.50250135316       10.7297147689       13.3599378057       14.148249656        15.0338624117       15.0076801213       14.1766838783       12.2354789701       9.92147751617       7.16358081782       4.94270547588       4.46667498944       7.10582540086       9.84807584397       12.0667550102       7.64591238088       4.63404041464       4.83954370875       7.69527679683       10.4830206286       12.7564451102       14.6655391406       16.0433952817       16.7942103574       16.6368021689       15.4232734285       12.5780282609       4.54855283452       2.84463214314       3.32726522006       6.2341958138        8.92398592552       10.990954944        12.5868066243       13.6890687503       14.1976023875       13.3989297902       11.3060029895       8.06096882625   
            1   5.7967110335760352e-01   9.0181749056625582e-01   5.7295709310565146e-01   9.7285301477781361e-01   8.2888915624602555e-01   2.2431000319442579e-01   4.0746669940251320e-02    15.1714097177       16.0608448237       16.3487967584       15.8301561332       14.1220191604       11.8245788818       9.44620694037       7.1063065179        6.21462346225       8.43480805543       10.6701046237       13.4583404664       14.1589201017       15.0489865824       15.16909964         14.2398941981       12.0844365385       9.60267119773       7.02775564914       5.00178093401       4.76938824113       7.16105249925       9.77198226558       12.1203630765       6.36651518371       3.98751385953       4.4930431031        7.00287672814       9.71011387699       11.932564465        13.8987362407       15.3836667012       16.0771648512       15.8013587091       14.4401620472       10.9492927519       3.82038846084       2.50927365659       3.09729966962       5.71201826263       8.24242613127       10.2849496718       11.8879623117       13.2043965537       13.5110077363       12.4974013111       10.143782016        6.74168097578   
            2   9.2111083569470786e-01   9.9945655745520645e-01   4.3432421349654238e-01   2.8935775425883808e-01   6.3859551469462794e-01   9.4130397591008130e-01   5.1792642587263668e-02    14.6797467679       15.6072455426       15.8227675697       15.1825746568       13.5035288078       11.3488658631       8.32018263102       5.32899761208       4.02449044527       6.75495112868       10.1203952989       12.7769695665       13.6877031428       14.6617289257       14.6514263652       13.5380306337       11.371544749        8.86868715559       5.82936119009       3.39234015574       2.72039064425       5.17635608565       8.84119731735       11.462556091        3.88504618181       2.00595851068       2.16543814947       4.57359358633       7.30501970877       9.6104335675        11.6123582324       13.284870834        14.1374267458       14.0816319531       12.5646833764       8.60791445318       2.09458059638       1.0565494747        1.27958119415       3.38021115192       5.89627406768       8.06763350414       9.78440952872       11.1449903025       11.7240114938       10.9522591151       8.55171012021       4.857526124     
            3   6.9994115576347604e-01   7.5563453012478676e-01   1.8324301774347471e-01   7.8887970903223115e-01   7.9224668704638523e-01   5.3866527375898192e-02   1.1403693440702881e-01    14.6013051849       15.5393411532       15.8659260422       15.2321310964       13.3633550449       11.1814877102       7.87477291342       4.35953355453       3.09520012875       6.35764215853       10.0134629625       12.733357389        13.5545149777       14.5861706887       14.6961896514       13.5997662812       11.3132832233       8.67643467766       5.14471470455       2.32997436848       1.79428925284       4.62904633107       8.75726438387       11.3880872934       3.45120114367       1.76644756349       1.99322481527       4.46336963364       7.22961475302       9.76862181503       11.8813827823       13.3612908493       14.1720142264       13.9944809763       12.182166094        8.03457315261       1.80070556134       0.925786899882      1.18163975103       3.27557337613       5.86173761654       8.21581792342       10.0308307463       11.2931956737       11.843479927        10.9356252713       8.18135318184       4.32445187602   
            4   7.0221081977776645e-01   7.0866473538002794e-02   4.6745880618358832e-01   8.9710722833406176e-01   5.4156637251310580e-01   7.6488084828348027e-02   8.6480510903056707e-01    14.9086921882       15.8216058309       16.1137376257       15.5357343515       13.7065036845       11.2088142134       8.04911738723       4.79921900764       3.69616047857       6.89621975494       10.1178947642       12.9051826069       13.879455947        14.8981232689       14.9541039564       13.943244164        11.6052254738       8.85098562018       5.43024021798       2.91418242028       2.50557031827       5.1748559011        8.9964074259        11.5964219091       4.10524264215       2.12588047891       2.52265133847       5.24149880279       8.16259762575       10.5500711575       12.7199539083       14.2805586956       15.1222754092       14.8666271687       13.2334336951       9.05064038728       2.24225447233       1.17305481641       1.54951452378       3.97415767267       6.6889032256        8.93717158075       10.7886629011       12.1237660389       12.7201060619       11.6900673487       9.00914970941       5.14756544899   
            5   2.6940148836001751e-02   2.0600270382461269e-01   6.9555281795827406e-01   6.4305571351599478e-01   9.6504478771904745e-01   1.2832087432034309e-01   4.2177173135403012e-01    14.6920832612       15.5194745934       15.7581482886       15.0919228732       13.1538705181       10.7651770445       7.21950700259       3.33233570303       1.77835685492       5.24775802117       9.55273448469       12.6869649313       13.7010807287       14.5798999728       14.602146763        13.4234604          10.9730154009       8.28646886016       4.43054285125       1.49890107293       0.871930143781      3.42029912891       8.08990918396       11.3186362071       2.3998346935        1.06391799959       1.31274572684       3.65538419153       6.16989985718       8.67401253302       10.8138555244       12.5477026748       13.3185994267       13.0788275105       11.2215847706       6.35968084694       1.13849474442       0.466648629655      0.652935450548      2.55103835556       4.87900334143       7.17209136645       9.07780920346       10.4742615048       11.0902793644       10.0160048592       7.18129361245       3.28484404905   
            6   5.0122613326779430e-01   9.7051142337399399e-01   4.7764340291864099e-01   4.2085358794512490e-01   8.2754055361063883e-01   4.8498990547045001e-01   3.7390863587414580e-01    14.6287384823       15.5273960167       15.7292275504       15.086117367        13.3660526171       11.0972217902       8.00224906186       4.62951859701       3.39411494261       6.28104065579       9.82481745875       12.602559864        13.6349083971       14.5917633617       14.5942836651       13.4915912785       11.208058943        8.66368865706       5.39089951425       2.73284611474       2.11930176858       4.68273244617       8.51578642811       11.2792476253       2.76246476311       1.35022608975       1.50318400463       3.73233788718       6.32892704438       8.82106153992       10.9520848958       12.7100456821       13.6621298759       13.5617511876       11.8223611896       7.0391869214        1.39374661954       0.623564046107      0.818675940713      2.65107618059       4.99955338286       7.32303394897       9.18664026675       10.6741435586       11.359773577        10.4743894386       7.74789370434       3.81786714754   
            7   3.5427544798835048e-01   4.7654023632806319e-01   2.9878928080267669e-01   3.2369295363979678e-01   3.1338146970873432e-01   2.2941291892701490e-01   8.1299453685392753e-01    14.4631920961       15.3979539136       15.6700136833       14.9370656518       13.0362414457       10.516248931        7.2247425681        3.70651578262       2.33508927619       5.36283660631       9.54527020319       12.4464502512       13.4132943725       14.4588653624       14.4863222256       13.2445624071       10.8491235546       8.14941080921       4.59061614609       1.88208601075       1.25688756547       3.76956623739       8.10149945902       11.1713196386       2.43498310298       1.1530958059        1.43605031066       3.84012593004       6.5003328212        8.97973449267       11.2048778112       12.9189636452       13.7253881165       13.4855550642       11.6189944717       6.59314802651       1.19316281819       0.522343591996      0.765199950292      2.70957942082       5.16986017632       7.46823996747       9.48687772102       10.9571888364       11.3637727645       10.3501648817       7.50005294666       3.42810621651   
            8   4.2099242526705238e-01   5.2976428460263247e-01   1.3407154117178699e-01   1.7242625538991499e-01   4.2507484277510749e-01   1.0744363520227899e-01   6.7814631875870479e-01    14.5904697099       15.6070681698       15.8136905934       14.9355550842       12.7031427553       10.1839893383       6.33555468996       2.84158439553       1.48603608433       4.3385465123        9.22541249423       12.5199527863       13.5791086087       14.6484823372       14.5544315914       13.1035916561       10.4554478987       7.49226030456       3.75707840736       1.21842911655       0.685771203694      2.85218363096       7.53477555004       11.1140242782       1.60160020901       0.711082364518      0.917142997773      3.03461644965       5.61781256904       7.95385311599       10.0635637419       11.7969217951       12.7826319042       12.6393675049       10.5515883637       4.51005003245       0.700096367291      0.293266168395      0.435198781789      2.02093491297       4.33363291459       6.55043415902       8.36336098218       9.85631925853       10.5430809095       9.48033489231       6.1392081707        2.17488780596   
            9   7.8472320480338686e-01   4.7077151267523210e-01   4.0737604889020851e-01   6.1624051514414269e-01   8.8855015881625665e-01   9.6166612814579688e-01   2.7015437061698838e-01    15.0099947261       15.9338754332       16.1861450959       15.5257509967       13.873567602        11.6784213119       9.15332961508       6.18337732745       4.97306857336       7.66357536613       10.3298093785       13.126169461        13.9505134893       14.9189937779       14.939176023        13.9056377738       11.7265828108       9.33604827411       6.54605999062       4.18792419046       3.54660304259       6.04981470298       9.33179578134       11.7782587743       4.9348268567        2.682978134         2.89819519313       5.43068764841       8.32702138619       10.7749066206       12.7471228539       14.3207995219       15.2017895643       15.159630028        13.8570046962       10.0337132986       2.77611247035       1.53092124588       1.82603186215       4.18058791409       6.8289696987        9.12890455465       10.843147933        12.1246151174       12.6778714327       11.8851718325       9.58112210158       5.83283470795   
